sex,age,sum_assured,ID
m,72,43000,1
m,22,38601,2
m,28,11589,3
f,30,8962,4
m,73,8942,5
m,37,28284,6
f,57,10702,7
m,49,8335,8
f,48,43964,9
m,44,7414,10
f,70,9641,11
m,23,31488,12
f,69,38625,13
f,77,32794,14
f,43,37373,15
f,70,7585,16
m,71,11540,17
m,73,9685,18
f,69,9677,19
f,42,36438,20
m,15,36748,21
f,57,12960,22
m,68,48146,23
f,45,43375,24
f,30,8084,25
m,41,29753,26
m,48,8064,27
m,42,8665,28
f,27,45500,29
f,61,9312,30
m,25,9802,31
f,68,9842,32
m,23,36415,33
m,46,8338,34
m,51,10235,35
m,47,32961,36
m,39,30625,37
m,69,53834,38
f,26,37930,39
m,19,33184,40
m,23,33565,41
m,65,40304,42
f,43,37556,43
m,77,44339,44
m,15,37570,45
f,34,9322,46
f,52,8728,47
m,50,7753,48
m,22,33782,49
f,72,29646,50
f,68,9014,51
f,57,11986,52
f,24,34261,53
m,73,46813,54
m,50,8317,55
f,73,34382,56
m,38,7493,57
f,35,9034,58
f,24,41672,59
f,42,50241,60
m,44,7675,61
f,42,37607,62
m,22,39188,63
m,45,8599,64
m,46,26721,65
m,45,37309,66
f,28,37458,67
m,20,10838,68
m,18,34588,69
m,79,56195,70
f,56,9644,71
f,21,44426,72
f,,33397,73
m,77,46857,74
f,28,8849,75
f,69,9732,76
f,24,41108,77
f,46,43219,78
m,65,9415,79
m,31,8532,80
m,51,7336,81
m,72,9255,82
m,67,10569,83
m,22,44912,84
m,50,39550,85
m,41,28351,86
m,67,33203,87
m,75,44146,88
f,54,10727,89
f,44,40056,90
m,45,25808,91
m,76,43312,92
f,26,8487,93
m,17,9395,94
m,68,44092,95
f,48,45328,96
f,73,10393,97
f,70,10310,98
f,59,10935,99
f,54,9834,100
m,17,40276,101
m,42,32204,102
m,45,8359,103
m,40,8155,104
m,77,10175,105
f,29,38277,106
f,64,42231,107
f,23,47484,108
f,25,35490,109
m,49,7424,110
f,69,10977,111
m,14,8953,112
f,36,9381,113
m,65,42371,114
f,26,40762,115
m,44,7538,116
m,74,9416,117
m,67,51096,118
f,65,41498,119
m,23,11686,120
f,72,27696,121
m,69,8757,122
f,23,37116,123
f,46,47188,124
m,21,8832,125
f,48,39734,126
m,17,9061,127
f,67,40382,128
m,43,29700,129
f,61,11368,130
m,71,11103,131
f,28,9077,132
m,80,10983,133
f,64,23497,134
m,38,8439,135
f,23,38736,136
f,58,8212,137
m,67,47002,138
m,68,9094,139
m,24,9498,140
f,68,10211,141
m,65,41765,142
m,71,42662,143
m,67,9325,144
f,63,9312,145
m,39,33086,146
f,71,10486,147
m,49,8538,148
f,,9110,149
f,,32449,150
f,45,43544,151
f,28,10371,152
f,56,10853,153
m,20,9080,154
m,14,14337,155
m,18,34355,156
f,69,10266,157
m,46,9488,158
f,38,9445,159
f,56,10894,160
m,49,29617,161
m,43,24486,162
f,65,30165,163
f,69,33669,164
f,69,9454,165
m,41,8874,166
f,42,48197,167
m,70,41025,168
f,33,7598,169
f,28,9450,170
f,26,41100,171
m,22,11320,172
m,71,10261,173
m,22,9489,174
f,70,36626,175
m,41,26261,176
f,44,43756,177
f,59,9075,178
f,26,37910,179
f,31,10519,180
m,73,9069,181
